Trajectory,X,Y
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
1,30,30
1,31,31
1,32,32
1,33,33
1,34,34
1,35,35
1,36,36
1,37,37
1,38,38
1,39,39
1,40,40
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,47
1,48,48
1,49,49
1,50,50
1,51,51
1,52,52
1,53,53
1,54,54
1,55,55
1,56,56
1,57,57
1,58,58
1,59,59
1,60,60
2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,6,6
2,7,7
2,8,8
2,9,9
2,10,10
2,11,11
2,12,12
2,13,13
2,14,14
2,15,15
2,16,16
2,17,17
2,18,18
2,19,19
2,20,20
2,21,21
2,22,22
2,23,23
2,24,24
2,25,25
2,26,26
2,27,27
2,28,28
2,29,29
2,30,30
2,31,31
2,32,32
2,33,33
2,34,34
2,35,35
2,36,36
2,37,37
2,38,38
2,39,39
2,40,40
2,41,41
2,42,42
2,43,43
2,44,44
2,45,45
2,46,46
2,47,47
2,48,48
2,49,49
2,50,50
2,51,51
2,52,52
2,53,53
2,54,54
2,55,55
2,56,56
2,57,57
2,58,58
2,59,59
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
2,60,60
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
3,6,6
3,7,7
3,8,8
3,9,9
3,10,10
3,11,11
3,12,12
3,13,13
3,14,14
3,15,15
3,16,16
3,17,17
3,18,18
3,19,19
3,20,20
3,21,21
3,22,22
3,23,23
3,24,24
3,25,25
3,26,26
3,27,27
3,28,28
3,29,29
3,30,30
3,31,31
3,32,32
3,33,33
3,34,34
3,35,35
3,36,36
3,37,37
3,38,38
3,39,39
3,40,40
3,41,40
3,42,41
3,43,42
3,44,43
3,45,44
3,46,45
3,47,46
3,48,47
3,49,48
3,50,49
3,51,50
3,52,51
3,53,52
3,54,53
3,55,54
3,56,55
3,57,56
3,58,57
3,59,58
3,60,59
4,1,1
4,2,2
4,3,3
4,4,4
4,5,5
4,6,6
4,7,7
4,8,8
4,9,9
4,10,10
4,11,11
4,12,12
4,13,13
4,14,14
4,15,15
4,16,16
4,17,17
4,18,18
4,19,19
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,20,20
4,21,21
4,22,22
4,23,23
4,24,24
4,25,25
4,26,26
4,27,27
4,28,28
4,29,29
4,30,30
4,31,31
4,32,32
4,33,33
4,34,34
4,35,35
4,36,36
4,37,37
4,38,38
4,39,39
4,40,40
4,41,41
4,42,42
4,43,43
4,44,44
4,45,45
4,46,46
4,47,47
4,48,48
4,49,49
4,50,50
4,51,51
4,52,52
4,53,53
4,54,54
4,55,55
4,56,56
4,57,57
4,58,58
4,59,59
4,60,60
5,1,1
5,2,2
5,3,3
5,4,4
5,5,5
5,6,6
5,7,7
5,8,8
5,9,9
5,10,10
5,11,11
5,12,12
5,13,13
5,14,14
5,15,15
5,16,16
5,17,17
5,18,18
5,19,19
5,20,20
5,21,22
5,22,23
5,23,24
5,24,25
5,25,26
5,26,27
5,27,28
5,28,29
5,29,30
5,30,31
5,31,32
5,32,33
5,33,34
5,34,35
5,35,36
5,36,37
5,37,38
5,38,39
5,39,40
5,40,41
5,41,41
5,42,42
5,43,43
5,44,44
5,45,45
5,46,46
5,47,47
5,48,48
5,49,49
5,50,50
5,51,51
5,52,52
5,53,53
5,54,54
5,55,55
5,56,56
5,57,57
5,58,58
5,59,59
5,60,60
6,1,1
6,2,2
6,3,3
6,4,4
6,5,5
6,6,6
6,7,7
6,8,8
6,9,9
6,10,10
6,11,11
6,12,12
6,13,13
6,14,14
6,15,15
6,16,16
6,17,17
6,18,18
6,19,19
6,20,20
6,20,20
6,21,21
6,21,21
6,22,22
6,22,22
6,23,23
6,23,23
6,24,24
6,24,24
6,25,25
6,25,25
6,26,26
6,26,26
6,27,27
6,27,27
6,28,28
6,28,28
6,29,29
6,29,29
6,30,30
6,30,30
6,31,31
6,31,31
6,32,32
6,32,32
6,33,33
6,33,33
6,34,34
6,34,34
6,35,35
6,35,35
6,36,36
6,36,36
6,37,37
6,37,37
6,38,38
6,38,38
6,39,39
6,39,39
6,40,40
6,41,41
6,42,42
6,43,43
6,44,44
6,45,45
6,46,46
6,47,47
6,48,48
6,49,49
6,50,50
6,51,51
6,52,52
6,53,53
6,54,54
6,55,55
6,56,56
6,57,57
6,58,58
6,59,59
6,60,60
7,1,1
7,2,2
7,3,3
7,4,4
7,5,5
7,6,6
7,7,7
7,8,8
7,9,9
7,10,10
7,11,11
7,12,12
7,13,13
7,14,14
7,15,15
7,16,16
7,17,17
7,18,18
7,19,19
7,20,20
7,20,20
7,20,20
7,20,20
7,20,20
7,20,20
7,20,20
7,20,20
7,20,20
7,20,20
7,20,20
7,21,20
7,22,21
7,23,22
7,24,23
7,25,24
7,26,25
7,27,26
7,28,27
7,29,28
7,30,29
7,31,30
7,32,31
7,33,32
7,34,33
7,35,34
7,36,35
7,37,36
7,38,37
7,39,38
7,40,39
7,41,41
7,42,42
7,43,43
7,44,44
7,45,45
7,46,46
7,47,47
7,48,48
7,49,49
7,50,50
7,51,51
7,52,52
7,53,53
7,54,54
7,55,55
7,56,56
7,57,57
7,58,58
7,59,59
7,60,60
8,1,1
8,2,2
8,3,3
8,4,4
8,5,5
8,6,6
8,7,7
8,8,8
8,9,9
8,10,10
8,11,11
8,12,12
8,13,13
8,14,14
8,15,15
8,16,16
8,17,17
8,18,18
8,19,19
8,20,20
8,21,22
8,22,23
8,23,24
8,24,25
8,25,26
8,26,27
8,27,28
8,28,29
8,29,30
8,30,31
8,31,31
8,32,32
8,33,33
8,34,34
8,35,35
8,36,36
8,37,37
8,38,38
8,39,39
8,40,40
8,41,41
8,42,42
8,43,43
8,44,44
8,45,45
8,46,46
8,47,47
8,48,48
8,49,49
8,50,50
8,51,52
8,52,53
8,53,54
8,54,55
8,55,56
8,56,57
8,57,58
8,58,59
8,59,60
8,60,61
